Rank,NOC,Gold,Upper Bound,Lower Bound
1,China,43,45,41
1,South Korea,42,44,40
1,United States,40,42,38
5,ROC,20,22,18
7,Germany,11,13,9
7,Japan,11,13,9
8,Australia,10,12,8
9,Italy,11,13,9
10,France,10,12,8
11,Great Britain,10,12,8
11,Yugoslavia,10,12,8
12,Czechoslovakia,10,12,8
12,Hungary,9,11,7
12,Serbia,9,11,7
16,Netherlands,6,8,4
17,Cuba,4,6,2
17,Georgia,4,6,2
19,Spain,4,6,2
20,New Zealand,3,5,1
21,Uzbekistan,3,5,1
22,Brazil,3,5,1
22,Canada,3,5,1
22,Croatia,3,5,1
22,Kenya,3,5,1
22,Poland,3,5,1
24,Romania,3,5,1
29,Czech Republic,2,4,0
30,Iran,2,4,0
30,Sweden,2,4,0
31,Denmark,2,4,0
32,Jamaica,2,4,0
32,Norway,2,4,0
35,Ukraine,2,4,0
38,Chinese Taipei,2,4,0
38,Switzerland,2,4,0
39,Azerbaijan,1,3,0
39,British West Indies ,1,3,0
40,Bulgaria,2,4,0
40,Ethiopia,1,3,0
41,Australasia,2,4,0
43,Belarus,1,3,0
43,Greece,1,3,0
45,Belgium,1,3,0
46,Ecuador,1,3,0
46,Turkey,1,3,0
47,Bahrain,1,3,0
47,Thailand,1,3,0
48,Hong Kong,1,3,0
48,Ireland,1,3,0
48,Slovakia,1,3,0
48,South Africa,1,3,0
51,Israel,1,3,0
52,Austria,1,3,0
53,North Korea,1,3,0
54,Indonesia,1,3,0
54,Uganda,1,3,0
55,Saint Lucia,1,3,0
56,Argentina,1,3,0
57,Algeria,1,3,0
57,Guatemala,1,3,0
57,Philippines,1,3,0
58,Bahamas,1,3,0
58,Finland,1,3,0
58,Kazakhstan,1,3,0
59,Colombia,1,3,0
60,Latvia,1,3,0
62,Bermuda,1,3,0
62,Portugal,1,3,0
63,Botswana,1,3,0
63,Chile,1,3,0
63,Mexico,1,3,0
64,Tunisia,0,2,0
65,Armenia,0,2,0
65,Pakistan,0,2,0
65,Venezuela,0,2,0
66,Egypt,0,2,0
67,India,0,2,0
68,Dominican Republic,0,2,0
68,Estonia,0,2,0
68,Kyrgyzstan,0,2,0
68,Qatar,0,2,0
70,Panama,0,2,0
71,Barbados,0,2,0
72,Lithuania,0,2,0
72,Puerto Rico,0,2,0
74,Cameroon,0,2,0
74,Nigeria,0,2,0
75,Cyprus,0,2,0
75,Kosovo,0,2,0
75,Mongolia,0,2,0
75,Morocco,0,2,0
75,Tajikistan,0,2,0
78,Malaysia,0,2,0
78,Peru,0,2,0
80,Albania,0,2,0
81,Burundi,0,2,0
81,Singapore,0,2,0
82,Fiji,0,2,0
84,Cabo Verde,0,2,0
84,Ivory Coast,0,2,0
84,Refugee Olympic Team,0,2,0
85,Moldova,0,2,0
86,Burkina Faso,0,2,0
87,Jordan,0,2,0
87,Saudi Arabia,0,2,0
89,Iceland,0,2,0
89,Zambia,0,2,0
98,Grenada,0,2,0
101,Syria,0,2,0
