Rank,NOC,Total,Upper Bound,Lower Bound
1,China,117,123,110
1,South Korea,120,126,114
1,United States,120,127,114
5,ROC,64,70,58
7,Germany,40,47,34
7,Japan,41,47,35
8,Australia,34,40,28
9,Italy,38,44,32
10,France,35,41,28
11,Great Britain,24,30,18
11,Yugoslavia,24,30,18
12,Czechoslovakia,21,28,15
12,Hungary,20,27,14
12,Serbia,25,31,19
16,Netherlands,18,24,11
17,Cuba,11,17,5
17,Georgia,20,26,14
19,Spain,21,27,15
20,New Zealand,17,24,11
21,Uzbekistan,13,19,6
22,Brazil,14,20,8
22,Canada,16,22,9
22,Croatia,14,20,8
22,Kenya,9,15,3
22,Poland,11,18,5
24,Romania,9,15,2
29,Czech Republic,8,14,2
30,Iran,7,13,0
30,Sweden,10,16,4
31,Denmark,7,13,1
32,Jamaica,6,12,0
32,Norway,7,13,1
35,Ukraine,8,15,2
38,Chinese Taipei,5,11,0
38,Switzerland,6,13,0
39,Azerbaijan,12,19,6
39,British West Indies ,12,19,6
40,Bulgaria,4,11,0
40,Ethiopia,5,12,0
41,Australasia,4,11,0
43,Belarus,8,15,0
43,Greece,7,13,1
45,Belgium,5,11,0
46,Ecuador,5,11,0
46,Turkey,5,11,0
47,Bahrain,4,11,0
47,Thailand,4,10,0
48,Hong Kong,5,11,0
48,Ireland,4,10,0
48,Slovakia,4,10,0
48,South Africa,4,10,0
51,Israel,4,10,0
52,Austria,4,10,0
53,North Korea,4,10,0
54,Indonesia,4,11,0
54,Uganda,4,10,0
55,Saint Lucia,3,9,0
56,Argentina,3,10,0
57,Algeria,3,9,0
57,Guatemala,3,9,0
57,Philippines,3,10,0
58,Bahamas,3,9,0
58,Finland,3,9,0
58,Kazakhstan,3,9,0
59,Colombia,3,9,0
60,Latvia,3,9,0
62,Bermuda,3,9,0
62,Portugal,2,8,0
63,Botswana,3,9,0
63,Chile,4,10,0
63,Mexico,3,9,0
64,Tunisia,4,10,0
65,Armenia,4,10,0
65,Pakistan,5,11,0
65,Venezuela,5,11,0
66,Egypt,4,10,0
67,India,6,12,0
68,Dominican Republic,5,11,0
68,Estonia,5,12,0
68,Kyrgyzstan,5,11,0
68,Qatar,5,11,0
70,Panama,3,9,0
71,Barbados,4,10,0
72,Lithuania,3,10,0
72,Puerto Rico,3,9,0
74,Cameroon,2,8,0
74,Nigeria,2,8,0
75,Cyprus,2,9,0
75,Kosovo,1,7,0
75,Mongolia,2,8,0
75,Morocco,1,7,0
75,Tajikistan,2,9,0
78,Malaysia,1,8,0
78,Peru,2,8,0
80,Albania,2,8,0
81,Burundi,2,8,0
81,Singapore,2,8,0
82,Fiji,4,10,0
84,Cabo Verde,1,7,0
84,Ivory Coast,1,7,0
84,Refugee Olympic Team,1,7,0
85,Moldova,2,8,0
86,Burkina Faso,2,8,0
87,Jordan,1,7,0
87,Saudi Arabia,2,8,0
89,Iceland,2,8,0
89,Zambia,1,7,0
98,Grenada,1,7,0
101,Syria,1,7,0
